2022-12-15 17:23:50,724 TRACE   org.springframework.core.io.support.PathMatchingResourcePatternResolver - Searching directory [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Filters] for files matching pattern [C:/Users/ariel/StartAtGoogle/CalendarApp/Calendar_Server_Side/target/classes/AwesomeCalendar/**/*.class]
2022-12-15 17:23:50,725 TRACE   org.springframework.core.io.support.PathMatchingResourcePatternResolver - Searching directory [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Repositories] for files matching pattern [C:/Users/ariel/StartAtGoogle/CalendarApp/Calendar_Server_Side/target/classes/AwesomeCalendar/**/*.class]
2022-12-15 17:23:50,726 TRACE   org.springframework.core.io.support.PathMatchingResourcePatternResolver - Searching directory [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Services] for files matching pattern [C:/Users/ariel/StartAtGoogle/CalendarApp/Calendar_Server_Side/target/classes/AwesomeCalendar/**/*.class]
2022-12-15 17:23:50,728 TRACE   org.springframework.core.io.support.PathMatchingResourcePatternResolver - Resolved location pattern [classpath*:AwesomeCalendar/**/*.class] to resources [file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Controllers\AuthController.class], file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Controllers\EventController.class], file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Entities\Event.class], file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Entities\Role.class], file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Entities\User.class], file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Filters\AppConfig.class], file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Filters\CorsFilter.class], file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Filters\RoleFilter.class], file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Filters\TokenFilter.class], file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Repositories\EventRepo.class], file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Repositories\RoleRepo.class], file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Repositories\UserRepo.class], file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Services\AuthService.class], file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Services\EventService.class], file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Services\RoleService.class], file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\SpringApp.class], file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\WebSocketConfig.class]]
2022-12-15 17:23:50,728 TRACE   org.springframework.context.annotation.ClassPathBeanDefinitionScanner - Scanning file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Controllers\AuthController.class]
2022-12-15 17:23:50,755 DEBUG   org.springframework.context.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Controllers\AuthController.class]
2022-12-15 17:23:50,755 TRACE   org.springframework.context.annotation.ClassPathBeanDefinitionScanner - Scanning file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Controllers\EventController.class]
2022-12-15 17:23:50,760 DEBUG   org.springframework.context.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Controllers\EventController.class]
2022-12-15 17:23:50,760 TRACE   org.springframework.context.annotation.ClassPathBeanDefinitionScanner - Scanning file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Entities\Event.class]
2022-12-15 17:23:50,764 TRACE   org.springframework.context.annotation.ClassPathBeanDefinitionScanner - Ignored because not matching any filter: file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Entities\Event.class]
